"","year","region","corruption","terror","boko","other","lgdp","lnight","dterror","dboko","dother","irrelevant","jrpartner","srpartner"
"1",2009,"Abia",1.48711001666667,0,0,0,2.85492951018754,1.47450851448393,0,0,0,0,0,0.865
"2",2009,"Adamawa",1.58717221133333,0,0,0,4.75024397549049,0.125654639796701,0,0,0,0,0.194,0
"3",2009,"Akwa-Ibom",1.89906062233333,3,0,0,3.34246199151903,1.5988490477616,1,0,0,0,0,0.865
"4",2009,"Anambra",2.09412533266667,0,0,0,2.68405417012586,1.66016942905407,0,0,0,0,0,0.865
"5",2009,"Bauchi",1.61992737833333,0,0,0,5.18389631178271,0.0802719706215474,0,0,0,0,0.097,0
"6",2009,"Bayelsa",2.03740201566667,10,0,32,3.66878292916907,2.33962149920801,1,0,1,0,0,1.73
"7",2009,"Benue",1.559139909,0,0,0,4.75024397549049,0.167940899019359,0,0,0,0,0.291,0.865
"8",2009,"Borno",1.64803466033333,7,63,0,5.56161401044547,0.103188608774691,1,1,0,0.04,0.194,0.865
"9",2009,"Cross-River",2.14338073166667,0,0,0,4.31320503932191,0.267394744207073,0,0,0,0,0.097,0.865
"10",2009,"Delta",1.56191859466667,11,0,30,4.11144931512702,2.26933736201378,1,0,1,0,0,1.73
"11",2009,"Ebonyi",1.588425926,0,0,0,3.12811707334211,0.246058272196203,0,0,0,0,0,0.865
"12",2009,"Edo",1.85574918633333,1,0,6,4.31320503932191,0.805625057603651,1,0,1,0,0.097,1.73
"13",2009,"Ekiti",1.63204365066667,0,0,0,2.85492951018754,0.433500614801608,0,0,0,0,0,0
"14",2009,"Enugu",2.063888889,0,0,0,3.24102153989109,0.846051512589792,0,0,0,0,0,0.865
"15",2009,"Federal Capital Territory",2.42013888866667,0,0,0,3.12811707334211,1.59219062946286,0,0,0,0,0.097,0
"16",2009,"Gombe",1.72716777566667,0,0,0,4.23731466988387,0.198207619124025,0,0,0,0,0.097,0
"17",2009,"Imo",1.91041174166667,0,0,0,2.85492951018754,2.46120548305272,0,0,0,0,0,1.73
"18",2009,"Jigawa",1.49857549833333,0,0,0,4.38374008949638,0.0936317174286707,0,0,0,0,0.097,0.865
"19",2009,"Kaduna",1.65833333333333,1,0,7,5.0876164368822,0.352579248015164,1,0,1,0,0.097,0
"20",2009,"Kano",2.05783103366667,0,0,0,4.38374008949638,0.614870021720743,0,0,0,0,0.097,0
"21",2009,"Katsina",1.64076229433333,0,0,0,4.38374008949638,0.228200184965695,0,0,0,0,0.097,0.865
"22",2009,"Kebbi",1.83791848733333,0,0,0,4.86180136692407,0.105789173770808,0,0,0,0,0.194,1.73
"23",2009,"Kogi",1.95730994166667,0,0,0,4.67680113442144,0.218330788528479,0,0,0,0,0.097,0.865
"24",2009,"Kwara",1.767877493,0,0,0,4.88269358489987,0.222693930249806,0,0,0,0,0.097,0.865
"25",2009,"Lagos",1.81175466833333,1,0,3,2.2177465825283,2.82868782520803,1,0,1,0,0.097,0.865
"26",2009,"Nassarawa",1.54733681066667,0,0,0,4.56965084108,0.234292529838778,0,0,0,0,0.194,0
"27",2009,"Niger",1.551754672,0,0,0,5.55107277889032,0.147917292572596,0,0,0,0,0.097,0.865
"28",2009,"Ogun",1.62214841633333,0,0,0,4.11144931512702,1.22334739885269,0,0,0,0,0.097,0.865
"29",2009,"Ondo",1.63124563233333,0,0,0,3.96742944966521,0.748932819241764,0,0,0,0,0,0.865
